"dates","reservas.internacionais","divida.liquida","nfsp","juros.de.mora","juros.eua","transacoes.correntes","conta.capital","dolar.diario","ipca","meta.selic","selic.efetiva","pib.var.acum.12.meses","desemprego.pnadc"
2013.16,377167.8,21.1,-1.61,0.00613646,0.25,-6744.6,13.1,1.99746,6.49,7.39285714285714,7.26,1.15,7.84
2013.15,377772,21.1,-1.61,0.00613646,0.25,-6744.6,13.1,1.9814,6.49,7.25,7.16,1.15,7.84
2013.14,377142.4,21.1,-1.61,0.00613646,0.25,-6744.6,13.1,2.0168,6.49,7.25,7.16,1.15,7.84
2013.13,376631,21.22,-0.25,0.00549404,0.25,-6432.9,20.8,2.01375,6.59,7.25,7.16,0.7,7.98
2013.12,376408.4,21.22,-0.25,0.00549404,0.25,-6432.9,20.8,1.99252,6.59,7.25,7.16,0.7,7.98
2013.11,375605,21.22,-0.25,0.00549404,0.25,-6432.9,20.8,1.96362,6.59,7.25,7.148,0.7,7.98
2013.1,376143,21.22,-0.25,0.00549404,0.25,-6432.9,20.8,1.96726,6.59,7.25,7.126,0.7,7.98
2013.09,374055.8,21.22,-0.25,0.00549404,0.25,-6432.9,20.8,1.97806,6.59,7.25,7.166,0.7,7.98
2013.08,373518.6,21.37,1.79,0.0049275,0.25,-5897.6,8.1,1.96536,6.31,7.25,7.11,0.64,7.72
2013.07,373808.666666667,21.37,1.79,0.0049275,0.25,-5897.6,8.1,1.96453333333333,6.31,7.25,7.11,0.64,7.72
2013.06,374555.4,21.37,1.79,0.0049275,0.25,-5897.6,8.1,1.98166,6.31,7.25,7.11,0.64,7.72
2013.05,373431,21.37,1.79,0.0049275,0.25,-5897.6,8.1,1.99558,6.31,7.25,7.11,0.64,7.72
2013.04,373721,20.88,-6.29,0.0060144,0.25,-13087.7,69,2.03828,6.15,7.25,7.11,0.97,7.22
2013.03,374046.2,20.88,-6.29,0.0060144,0.25,-13087.7,69,2.03938,6.15,7.25,7.11,0.97,7.22
2013.02,372866.2,20.88,-6.29,0.0060144,0.25,-13087.7,69,2.03428,6.15,7.25,7.11,0.97,7.22
2013.01,367145.6,20.88,-6.29,0.0060144,0.25,-13087.7,69,2.16312,6.15,7.9375,8.226,0.97,7.22
2012.52,373958.75,20.82,-6.58,0.00550152,0.25,-8860.8,8.6,2.056525,5.84,7.71875,7.2375,0.66,6.86
2012.51,377498.6,20.82,-6.58,0.00550152,0.25,-8860.8,8.6,2.08084,5.84,7.25,7.112,0.66,6.86
2012.5,378718,20.82,-6.58,0.00550152,0.25,-8860.8,8.6,2.0789,5.84,7.25,7.13,0.66,6.86
2012.49,378874.2,20.82,-6.58,0.00550152,0.25,-8860.8,8.6,2.09768,5.84,7.25,7.14,0.66,6.86
2012.48,378379.8,20.82,-6.58,0.00550152,0.25,-8860.8,8.6,2.09032,5.84,7.25,7.14,0.66,6.86
2012.47,377649.2,20.8,1.38,0.00548846,0.25,-9139.7,27.2,2.08802,5.53,7.25,7.14,0.73,6.77
2012.46,377763.75,20.8,1.38,0.00548846,0.25,-9139.7,27.2,2.060775,5.53,7.25,7.14,0.73,6.77
2012.45,377693,20.8,1.38,0.00548846,0.25,-9139.7,27.2,2.0378,5.53,7.25,7.14,0.73,6.77
2012.44,377716.5,20.8,1.38,0.00548846,0.25,-9139.7,27.2,2.0311,5.53,7.25,7.14,0.73,6.77
